State,City,Restaurant Name,Location,Category,Dish Name,Price (INR),Rating,Rating Count
Tripura,Agartala,Daya Hari Mithai,Kaman Chowmuhani,Soup,Tomato Soup,120.0,3.5,6
Delhi,New Delhi,Subway,Cleo County,Recommended,Classic Veggie Craver (10cm),169.0,4.5,19
Delhi,New Delhi,Hira Sweets,Indirapuram,Cookies & Namkeen,Spl. Nam Ajwain Cookies (400 Gms) ,127.12,5.0,4
Himachal Pradesh,Shimla,Pizza Hut,Mall Road,Flash Sale Pizzas,Royal Spice Paneer Thin n Crispy Pizza,849.0,0.0,0
Tamil Nadu,Chennai,Kwality Walls Ice Cream and More,OMR Navalur,Recommended,Oreo & Cream 700ml,299.0,4.6,2
Uttar Pradesh,Lucknow,Rominus Pizza And Burger,Vrindavan Colony,New Launch (Stuffed Crunch Pizza),Tandoori Stuffza,699.0,4.0,1
West Bengal,Kolkata,Mealful Rolls - India's Biggest Rolls,Jessore Rd,Veg Starters,Smoky Paneer Tikka [10 Pcs],249.0,4.8,2
Madhya Pradesh,Indore,La Pino'z Pizza,South Tukoganj,DOTD,Tandoori Paneer Pizza Regular,286.0,0.0,0
Maharashtra,Mumbai,McDonald's,Nerul,Shravan Specials,New McSaver McAloo Tikki NONG,178.0,0.0,0
Gujarat,Ahmedabad,McDonald's,Prahlad Nagar,Coffee & Beverages (Hot and Cold),Ice Americano Coffee ,187.0,4.7,14
Delhi,New Delhi,Hira Sweets And Confectionary Pvt. Ltd.,Sector 51,Recommended,Idli Sambar [4 Pieces],130.0,4.1,135
Chhattisgarh,Raipur,Pind Balluchi,Mahaveer Nagar,PIZZA & PASTA,Margherita Pizza,409.0,0.0,0
Himachal Pradesh,Shimla,37 The Central Restaurant,Mall Road,Must Try Combos,Chilli Chicken Gravy + Butter Naan 2 + Gulab jamun                                                                       ,600.0,0.0,0
Haryana,Gurgaon,ZAZA Mughal Biryani,Vasant Kunj,Non-Veg Mughal Biryani,Double Chicken Tangdi Mughal Biryani,329.0,4.5,4
Madhya Pradesh,Indore,LunchBox - Meals and Thalis,Sheetal Nagar,Executive Lunchbox,Rajma Masala Jumbo Lunchbox,299.0,4.4,124
